text,label
  화창한 아침입니다 소속 상담원 이름입니다   안녕하세요 제가 궁금한 게 있어서요   네 고객님 말씀해 주세요   소속에서는 엘이디 소자를 어디 거 쓰나요   저희는 전량 국내 소속제품 소자만을 사용합니다   소속 소자도 등급이 있던데요   네 맞습니다 저희는 최고 등급의 소속소자를 사용하기 때문에요   고효율 인증까지 획득하였습니다   네 믿고 사용할 수 있겠네요 설명 감사해요   오늘 하루 행복한 일들만 가득하셨으면 좋겠습니다   상담사님도 좋은 하루 보내시기 바랍니다,0
  반갑습니다 상담사 이름 입니다   네 오늘 기사님 예약을 했는데 시간을 좀 변경할 수 있을까요   예 확인해보겠습니다 고객님 전화번호가 어떻게 되십니까   예 전화번호가 전번이거요 이거   전번이요 성함은 어떻게 되십니까   예 이름은 이름이요   이름님이요 혹시 거기 주소는 그 주소 맞으세요   네 주소 맞아요 거기에요   시간은 그럼 언제로 변경해드릴까요   한시 이전으로 해야될거 같은데 한 열한시나 열두시 될까요   네 그 시간 가능한지 확인해보겠습니다 잠시만 기다려주시겠습니까   확인 기다려주셔서 감사합니다 오늘 열시 사십분은 어떠세요 고객님   예 열시 사십분 잠시만요 예 예 열시 사십분 괜찮아요   네 그럼 저희 이름 기사로 접수를 했는데요   안내받으신 것처럼 출장 점검료 만이천원이구요   정확한 설치비용은 현장에서 기사가 제품을 보고 말씀드리겠습니다   알겠습니다 네 고맙습니다   설치 잘하시구요 따뜻한 겨울 보내세요   네 감사합니다 상담사님도 따뜻한 겨울 보내세요,0
해보러 아이... 누가 해를 그때되면 여덟시 반에 보러 갑니꺼.. 없긴 허겠으... 당연히 없지예 그렇다면 사람 없겠군 한참 떠 있을 시간..,0
  가치있는 브랜드 소속 고객센터입니다   안녕하세요 포인트 적립은 어떤 식으로 되는 건가요   고객님 실례지만 어떤 포인트 말씀이십니까   소속에서 주는 기타 포인트요   기타 포인트는 회원 등급에 따라 차등 적립됩니다   회원 등급이 따로 있나요   네 일반회원부터 브이아이피 회원까지 있습니다   회원 등급이 있는 이유가 있나요   구매 이력에 따라 등급이 나뉘어 지고 있습니다   그렇군요 잘 알겠습니다   감사합니다 소속 고객센터였습니다,0
언냐 난 25 약정제도 신청햇삼 아 .. 빠그군 빠르군 나 남은기간이 6개월 미만이여서 위약금없이 승계된대 우와 오늘부터 1년으로 다시 계약햇어 그럼 나는? 글고 이게 똑같은 SKT쓰면서 다른 기기로 변경하는것도 상관없다네 올 얼른  바꿔 노크 5 노트 5 오늘 왜 이렇게 오타가... 너무 일하기 싫어  이번년도까지는 일단 이거 쓰려고 안 하다 보니 더 게을러지는 듯 응 나도 일하기 시름 회사 사람들 다 일하기 시러함  ,0
야 아 북대로 갈게 호남제일문으로 가는버스가 별로읎네 오 일찍인낫네 북대 오케잇? 오케이 근데 아이폰 짜증나네 카톡온거도 알람안옴 아니.벌써 비오네 진짜 나가기싫다 비와 짜증나는거 그럼 짐안챙기고 우산만 챙겨야지 짐챙겨 차타고갈때 가져가는게낫지  짐은 짐일뿐이니라 늦었다리 아 북대정문알 구정문??? 여기 정문같이 생겻던데 북대 정문 2개임 그 술집있는쪽이 구정문 우리가 북대라고 부르는 그곳,0
  반갑습니다 소속 이름 입니다 이름 고객님 맞으시죠   네 맞아요 전화 빨리 주셨네요   네 확인 감사합니다 네 고객님께서 이전 상담하신 부분 확인해보니까요   고객님께서 하나 반품 요청하셨고 또 이십삼 일 날짜로 기사님께서요   수거해 가셨고 또 나머지 한 개도 반품 요청하셨던 부분 맞으실까요   예 예 맞아요   네 근데 이제 고객님께서 추가적으로 요청하셨던 한 개 제품도요   이제 회수가 되지 않았다는 말씀 맞으시죠   예 맞아요 맞아요   네 고객님 접수하신지 꽤 되셨는데 이런 부분으로 인해서 지연되셔서요   고객님 이용에 불편을 드려 죄송합니다   저희가 이 부분 확인 후에 도움드리도록 하겠습니다 잠시만 기다려 주세요,0
  소속 이름입니다 무엇을 도와 드릴까요   상품관련해서 문의 좀 할게요   네 어떤 문의로 연락주셨나요   뚜껑에만 엘이디가 있는데 안쪽까지 모두 살균이 되나요   파장이 직접적으로 닿지 않으면 살균이 안 됩니다   전체적으로 살균하려면 어떻게 해야되나요   표면이 유브이에 노출될 수 있도록 소량 살균을 권장하구요   많을 때에는 물건을 뒤적여 여러번 살균해주세요   많을 땐 그렇게 해볼게요   추가로 궁금하신 사항 있으십니까   아니요 이제 괜찮아요   네 지금까지 상담사 이름이었습니다,0
파일 이거 프린트 어떻게 해야하니? 저걸프린트해? 왜 구냥 저거 보고 필요한 서류 제출하면 되는거 아녀? 아 저 동의하엿습니다 부분? 엄마 병원에서 프린트돼? 프린트해서 적고 스캔해도되고 아님 아이패드로 옮겨서 펜으로 서명 다하고 보내도되고 프린트 되는데 토요일 저녁에해 아이패드가져갈게,0
  안녕하세요 소속 상담원 이름입니다   네 안녕하세요 선생님 문의 사항 있어서 연락드렸어요   네 고객님 어떤 문의사항이신가요   주문 시에 한번 주문하고 제품은 여러 곳에 보낼 수 있나요   제품을 배송받으시는 주소지가 다른 경우에는요   조금 번거로우시더라도 각각 주문서를 작성하여 결제해 주셔야 합니다   배송비 때문에 그런가요 따로 입금 처리 해도 되는데요   홈페이지 주문 시 주문서 그대로 발주가 들어가기 때문에요   따로 메모를 남기셔도 처리되기가 어려울 수 있어서 그렇습니다   알겠습니다 주문 따로따로 할게요   감사합니다 소속 이름이었습니다   친절한 상담 감사합니다,0
